   JOINT #   DIRECTION    Pound-mass(inch)
   -------   ---------     = LBf/386.08858

        19       X            51.899921
        19       Y            51.899921
        19       Z            51.899923
        18       X            64.312918
        18       Y            64.312918
        18       Z            64.312919
        15       X            47.812987
        15       Y            47.812987
        15       Z            47.812985
        41       X            63.887958
        41       Y            63.887956
        41       Z            63.887958
        17       X            54.589067
        17       Y            54.589067
        17       Z            54.589069
        14       X            29.344162
        14       Y            29.344162
        14       Z            29.344161
        40       X            90.049344
        40       Y            90.049347
        40       Z            90.049347
        22       X            19.367333
        22       Y            19.367333
        22       Z            19.367333
        11       X            48.027858
        11       Y            48.027858
        11       Z            48.027858
        37       X            62.435042
        37       Y            62.205550
        37       Z            62.205547
        63       X            63.795353
        63       Y            63.795350
        63       Z            63.795353
        36       X            55.103582
        36       Y            54.938609
        36       Z            54.938607
        16       X             8.951146
        16       Y             8.951146
        16       Z             8.951146
        13       X            44.257643
        13       Y            44.257644
        13       Z            44.257643
        39       X            82.819829
        39       Y            82.819831
        39       Z            82.819831
        21       X            14.510136
        21       Y            14.510136
        21       Z            14.510136
        62       X            89.925871
        62       Y            89.925873
        62       Z            89.925873
        35       X            67.982283
        35       Y            67.891457
        35       Z            67.891452
        10       X             6.202112
        10       Y             6.202112
        10       Z             6.202112
         9       X            18.504153
         9       Y            18.504153
         9       Z            18.504153
         5       X            45.011323
         5       Y            45.011323
         5       Z            45.011323
        33       X            60.998165
        33       Y            60.947736
        33       Z            60.947733
        44       X            30.906667
        44       Y            31.206443
        44       Z            31.206443
        59       X            62.311569
        59       Y            62.082076
        59       Z            62.082074
        32       X            10.157050
        32       Y            10.157050
        32       Z            10.157050
        85       X            33.859104
        85       Y            33.859103
        85       Z            33.859103
        58       X            54.980108
        58       Y            54.815135
        58       Z            54.815133
        43       X            27.563472
        43       Y            27.711339
        43       Z            27.711339
        12       X            29.614235
        12       Y            29.614236
        12       Z            29.614236
        38       X            28.821782
        38       Y            28.821783
        38       Z            28.821784
        20       X            28.327070
        20       Y            28.327068
        20       Z            28.327067
        61       X            82.696355
        61       Y            82.696358
        61       Z            82.696358
        34       X            46.715108
        34       Y            46.577884
        34       Z            46.577883
         8       X            31.414781
         8       Y            31.414781
         8       Z            31.414781
        84       X            50.697884
        84       Y            50.697882
        84       Z            50.697883
        57       X            67.858810
        57       Y            67.767984
        57       Z            67.767979
        42       X            38.413094
        42       Y            38.587961
        42       Z            38.587962
         4       X            42.328893
         4       Y            42.328893
         4       Z            42.328893
        31       X            44.620083
        31       Y            44.721359
